Date,State,City,Amount,Profit,Quantity,Category,Sub-Category,Region,Month,Year
2018-09-04,Bihar,Patna,107.0,-54.0,4,Clothing,Stole,East,September,2018
2018-09-04,Bihar,Patna,68.0,-55.0,5,Electronics,Accessories,East,September,2018
2018-09-04,Bihar,Patna,781.0,-594.0,6,Electronics,Printers,East,September,2018
2018-09-04,Bihar,Patna,43.0,0.0,3,Clothing,Saree,East,September,2018
2018-09-04,Bihar,Patna,30.0,-5.0,2,Furniture,Furnishings,East,September,2018
2018-11-04,Kerala,Thiruvananthapuram,160.0,-59.0,2,Clothing,Saree,South,November,2018
2018-12-04,Punjab,Chandigarh,259.0,-55.0,2,Furniture,Chairs,North,December,2018
2018-12-04,Haryana,Chandigarh,1603.0,0.0,9,Clothing,Saree,North,December,2018
2018-04-13,Himachal Pradesh,Simla,494.0,54.0,4,Furniture,Bookcases,North,April,2018
2018-04-13,Himachal Pradesh,Simla,98.0,-12.0,2,Electronics,Electronic Games,North,April,2018
2018-04-15,Sikkim,Gangtok,68.0,20.0,5,Clothing,Hankerchief,East,April,2018
2018-04-15,Goa,Goa,42.0,12.0,5,Clothing,Hankerchief,West,April,2018
2018-04-15,Goa,Goa,116.0,-56.0,5,Clothing,Stole,West,April,2018
2018-04-15,Goa,Goa,22.0,-2.0,3,Clothing,Hankerchief,West,April,2018
2018-04-15,Goa,Goa,14.0,-2.0,3,Clothing,Hankerchief,West,April,2018
2018-04-17,Nagaland,Kohima,305.0,-270.0,5,Electronics,Electronic Games,East,April,2018
2018-04-18,Andhra Pradesh,Hyderabad,362.0,127.0,1,Furniture,Bookcases,South,April,2018
2018-04-18,Andhra Pradesh,Hyderabad,12.0,0.0,2,Clothing,Hankerchief,South,April,2018
2018-04-18,Gujarat,Ahmedabad,353.0,90.0,8,Clothing,Saree,West,April,2018
2018-04-20,Maharashtra,Pune,193.0,46.0,1,Electronics,Printers,West,April,2018
2018-04-20,Madhya Pradesh,Bhopal,233.0,-10.0,5,Electronics,Electronic Games,Central,April,2018
2018-04-20,Madhya Pradesh,Bhopal,228.0,63.0,3,Electronics,Electronic Games,Central,April,2018
2018-04-20,Madhya Pradesh,Bhopal,333.0,-15.0,3,Electronics,Phones,Central,April,2018
2018-04-22,Rajasthan,Jaipur,534.0,0.0,3,Clothing,Saree,West,April,2018
2018-04-22,West Bengal,Kolkata,53.0,1.0,4,Clothing,Stole,East,April,2018
2018-04-22,West Bengal,Kolkata,158.0,69.0,3,Clothing,Stole,East,April,2018
2018-04-22,West Bengal,Kolkata,149.0,-87.0,4,Clothing,Saree,East,April,2018
2018-04-22,West Bengal,Kolkata,105.0,20.0,2,Clothing,Stole,East,April,2018
2018-04-22,Karnataka,Bangalore,26.0,12.0,3,Clothing,Hankerchief,South,April,2018
2018-04-23,Jammu and Kashmir,Kashmir,97.0,29.0,2,Clothing,Hankerchief,North,April,2018
2018-04-23,Jammu and Kashmir,Kashmir,59.0,30.0,3,Clothing,Leggings,North,April,2018
2018-04-23,Jammu and Kashmir,Kashmir,635.0,-349.0,5,Clothing,Saree,North,April,2018
2018-04-23,Maharashtra,Mumbai,46.0,-14.0,1,Electronics,Phones,West,April,2018
2018-04-23,Maharashtra,Mumbai,1103.0,-276.0,3,Furniture,Chairs,West,April,2018
2018-04-23,Madhya Pradesh,Indore,55.0,-39.0,4,Clothing,Stole,Central,April,2018
2018-04-24,Bihar,Patna,45.0,13.0,4,Clothing,Skirt,East,April,2018
2018-04-24,Bihar,Patna,24.0,-9.0,4,Clothing,Saree,East,April,2018
2018-04-24,Bihar,Patna,35.0,-8.0,2,Furniture,Furnishings,East,April,2018
2018-04-24,Kerala,Thiruvananthapuram,1560.0,421.0,3,Clothing,Trousers,South,April,2018
2018-04-24,Punjab,Chandigarh,133.0,12.0,5,Clothing,Stole,North,April,2018
2018-04-24,Punjab,Chandigarh,114.0,-39.0,5,Clothing,Kurti,North,April,2018
2018-04-24,Punjab,Chandigarh,143.0,-129.0,2,Electronics,Phones,North,April,2018
2018-04-24,Punjab,Chandigarh,40.0,-7.0,3,Clothing,Stole,North,April,2018
2018-04-24,Punjab,Chandigarh,34.0,-22.0,4,Clothing,T-shirt,North,April,2018
2018-04-24,Punjab,Chandigarh,42.0,-26.0,2,Clothing,Kurti,North,April,2018
2018-04-24,Haryana,Chandigarh,89.0,-89.0,2,Furniture,Furnishings,North,April,2018
2018-04-25,Himachal Pradesh,Simla,19.0,-2.0,2,Clothing,Leggings,North,April,2018
2018-04-26,Sikkim,Gangtok,249.0,-130.0,4,Electronics,Phones,East,April,2018
2018-04-26,Sikkim,Gangtok,711.0,-8.0,4,Clothing,Saree,East,April,2018
2018-04-26,Sikkim,Gangtok,496.0,-79.0,2,Clothing,Trousers,East,April,2018
2018-04-26,Goa,Goa,389.0,-83.0,3,Furniture,Chairs,West,April,2018
2018-04-26,Nagaland,Kohima,40.0,16.0,3,Clothing,Hankerchief,East,April,2018
2018-04-26,Nagaland,Kohima,23.0,2.0,2,Clothing,Skirt,East,April,2018
2018-04-26,Nagaland,Kohima,382.0,30.0,3,Clothing,Saree,East,April,2018
2018-04-26,Maharashtra,Mumbai,637.0,113.0,5,Clothing,Saree,West,April,2018
2018-04-26,Madhya Pradesh,Indore,117.0,14.0,3,Clothing,Shirt,Central,April,2018
2018-04-26,Maharashtra,Pune,182.0,-11.0,3,Furniture,Bookcases,West,April,2018
2018-04-26,Maharashtra,Pune,880.0,97.0,8,Furniture,Furnishings,West,April,2018
2018-04-26,Maharashtra,Pune,154.0,39.0,3,Clothing,Hankerchief,West,April,2018
2018-04-26,Maharashtra,Pune,816.0,-96.0,3,Electronics,Printers,West,April,2018
2018-04-27,Madhya Pradesh,Bhopal,1629.0,-153.0,3,Electronics,Phones,Central,April,2018
2018-04-27,Rajasthan,Jaipur,68.0,-62.0,2,Clothing,Trousers,West,April,2018
2018-04-27,Rajasthan,Jaipur,314.0,-239.0,13,Clothing,Hankerchief,West,April,2018
2018-04-27,Rajasthan,Jaipur,122.0,-47.0,4,Clothing,Saree,West,April,2018
2018-04-27,West Bengal,Kolkata,22.0,-6.0,1,Furniture,Furnishings,East,April,2018
2018-04-28,Karnataka,Bangalore,434.0,26.0,11,Clothing,Shirt,South,April,2018
2018-04-29,Jammu and Kashmir,Kashmir,1061.0,-36.0,8,Furniture,Bookcases,North,April,2018
2018-04-29,Jammu and Kashmir,Kashmir,50.0,-44.0,2,Clothing,Hankerchief,North,April,2018
2018-04-29,Jammu and Kashmir,Kashmir,37.0,-23.0,4,Clothing,Shirt,North,April,2018
2018-04-29,Jammu and Kashmir,Kashmir,263.0,-63.0,2,Electronics,Electronic Games,North,April,2018
2018-04-29,Jammu and Kashmir,Kashmir,36.0,-7.0,1,Electronics,Electronic Games,North,April,2018
2018-04-30,Maharashtra,Mumbai,76.0,-92.0,8,Furniture,Furnishings,West,April,2018
2018-01-05,Madhya Pradesh,Indore,273.0,-87.0,4,Electronics,Phones,Central,January,2018
2018-01-05,Madhya Pradesh,Indore,86.0,0.0,4,Clothing,T-shirt,Central,January,2018
2018-01-05,Madhya Pradesh,Indore,133.0,-42.0,1,Electronics,Printers,Central,January,2018
2018-01-05,Madhya Pradesh,Indore,183.0,-66.0,5,Electronics,Phones,Central,January,2018
2018-01-05,Bihar,Patna,20.0,-8.0,2,Clothing,Saree,East,January,2018
2018-03-05,Kerala,Thiruvananthapuram,42.0,-6.0,4,Clothing,Saree,South,March,2018
2018-04-05,Punjab,Chandigarh,100.0,-23.0,1,Electronics,Phones,North,April,2018
2018-04-05,Punjab,Chandigarh,30.0,13.0,1,Clothing,T-shirt,North,April,2018
2018-04-05,Punjab,Chandigarh,55.0,-26.0,4,Clothing,Saree,North,April,2018
2018-04-05,Punjab,Chandigarh,130.0,-41.0,4,Clothing,Saree,North,April,2018
2018-05-05,Haryana,Chandigarh,27.0,-25.0,2,Clothing,Stole,North,May,2018
2018-06-05,Maharashtra,Mumbai,245.0,-78.0,2,Electronics,Printers,West,June,2018
2018-06-05,Maharashtra,Mumbai,211.0,-105.0,2,Clothing,Saree,West,June,2018
2018-06-05,Maharashtra,Mumbai,31.0,-2.0,2,Clothing,Saree,West,June,2018
2018-06-05,Maharashtra,Mumbai,28.0,-26.0,2,Clothing,Stole,West,June,2018
2018-06-05,Maharashtra,Mumbai,512.0,-225.0,5,Clothing,Saree,West,June,2018
2018-06-05,Maharashtra,Mumbai,925.0,-447.0,5,Electronics,Electronic Games,West,June,2018
2018-06-05,Maharashtra,Mumbai,238.0,20.0,2,Clothing,Saree,West,June,2018
2018-06-05,Maharashtra,Mumbai,351.0,-47.0,8,Electronics,Phones,West,June,2018
2018-06-05,Maharashtra,Mumbai,269.0,111.0,3,Clothing,Trousers,West,June,2018
2018-07-05,Madhya Pradesh,Indore,200.0,-60.0,4,Furniture,Bookcases,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,44.0,-8.0,3,Clothing,Stole,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,7.0,0.0,1,Clothing,Leggings,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,11.0,-4.0,2,Clothing,Skirt,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,16.0,-10.0,2,Clothing,T-shirt,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,172.0,-103.0,3,Furniture,Chairs,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,49.0,3.0,1,Clothing,Shirt,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,823.0,-18.0,7,Furniture,Chairs,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,23.0,4.0,1,Clothing,Saree,Central,July,2018
2018-07-05,Madhya Pradesh,Indore,457.0,-41.0,4,Clothing,Saree,Central,July,2018
2018-08-05,Goa,Goa,24.0,-21.0,7,Clothing,Skirt,West,August,2018
2018-08-05,Goa,Goa,25.0,-2.0,5,Clothing,Hankerchief,West,August,2018
2018-08-05,Goa,Goa,174.0,-70.0,3,Electronics,Accessories,West,August,2018
2018-08-05,Goa,Goa,206.0,-206.0,3,Clothing,Saree,West,August,2018
2018-08-05,Goa,Goa,21.0,-13.0,3,Clothing,Leggings,West,August,2018
2018-08-05,Goa,Goa,34.0,-6.0,4,Clothing,Leggings,West,August,2018
2018-08-05,Goa,Goa,9.0,-6.0,2,Clothing,Hankerchief,West,August,2018
2018-08-05,Nagaland,Kohima,1279.0,-640.0,8,Electronics,Printers,East,August,2018
2018-08-05,Nagaland,Kohima,28.0,-3.0,2,Clothing,Saree,East,August,2018
2018-08-05,Nagaland,Kohima,427.0,-50.0,7,Electronics,Phones,East,August,2018
2018-08-05,Nagaland,Kohima,168.0,-10.0,3,Electronics,Accessories,East,August,2018
2018-08-05,Nagaland,Kohima,1327.0,318.0,8,Furniture,Chairs,East,August,2018
2018-08-05,Nagaland,Kohima,195.0,-117.0,5,Electronics,Phones,East,August,2018
2018-08-05,Nagaland,Kohima,115.0,25.0,1,Electronics,Accessories,East,August,2018
2018-08-05,Nagaland,Kohima,668.0,-31.0,3,Electronics,Printers,East,August,2018
2018-08-05,Nagaland,Kohima,227.0,102.0,8,Electronics,Accessories,East,August,2018
2018-10-05,Maharashtra,Mumbai,34.0,12.0,3,Clothing,Hankerchief,West,october,2018
2018-10-05,Maharashtra,Mumbai,229.0,-23.0,2,Clothing,Saree,West,october,2018
2018-10-05,Maharashtra,Mumbai,54.0,-3.0,3,Clothing,Saree,West,october,2018
2018-10-05,Maharashtra,Mumbai,269.0,-86.0,2,Electronics,Electronic Games,West,october,2018
2018-10-05,Maharashtra,Mumbai,122.0,-21.0,3,Furniture,Furnishings,West,october,2018
2018-10-05,Maharashtra,Mumbai,105.0,46.0,2,Clothing,Stole,West,october,2018
2018-10-05,Maharashtra,Mumbai,450.0,-90.0,3,Electronics,Printers,West,october,2018
2018-10-05,Maharashtra,Mumbai,121.0,-17.0,3,Furniture,Furnishings,West,october,2018
2018-11-05,Madhya Pradesh,Indore,44.0,-26.0,3,Clothing,Hankerchief,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,7.0,-4.0,3,Clothing,Hankerchief,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,396.0,-31.0,9,Clothing,Saree,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,97.0,-62.0,2,Clothing,Trousers,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,110.0,-68.0,4,Clothing,Saree,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,312.0,-312.0,7,Furniture,Chairs,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,9.0,-6.0,2,Clothing,Skirt,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,6.0,-3.0,1,Clothing,Hankerchief,Central,November,2018
2018-11-05,Madhya Pradesh,Indore,74.0,23.0,8,Clothing,Skirt,Central,November,2018
2018-11-05,Maharashtra,Pune,534.0,0.0,3,Clothing,Saree,West,November,2018
2018-11-05,Maharashtra,Pune,30.0,-5.0,5,Clothing,Stole,West,November,2018
2018-11-05,Maharashtra,Pune,61.0,-23.0,2,Clothing,Saree,West,November,2018
2018-11-05,Maharashtra,Pune,6.0,3.0,1,Clothing,Hankerchief,West,November,2018
2018-11-05,Maharashtra,Pune,24.0,-1.0,2,Clothing,Hankerchief,West,November,2018
2018-11-05,Maharashtra,Pune,56.0,18.0,2,Clothing,Hankerchief,West,November,2018
2018-11-05,Maharashtra,Pune,406.0,126.0,2,Clothing,Saree,West,November,2018
2018-11-05,Maharashtra,Pune,624.0,37.0,2,Electronics,Electronic Games,West,November,2018
2018-11-05,Maharashtra,Pune,101.0,18.0,9,Clothing,Skirt,West,November,2018
2018-11-05,Maharashtra,Pune,1389.0,680.0,7,Clothing,Saree,West,November,2018
2018-11-05,Maharashtra,Pune,651.0,169.0,5,Electronics,Printers,West,November,2018
2018-11-05,Maharashtra,Pune,13.0,-1.0,3,Clothing,Hankerchief,West,November,2018
2018-05-13,Madhya Pradesh,Bhopal,1021.0,-48.0,4,Electronics,Electronic Games,Central,May,2018
2018-05-13,Madhya Pradesh,Bhopal,32.0,-22.0,5,Clothing,Saree,Central,May,2018
2018-05-13,Madhya Pradesh,Bhopal,332.0,-43.0,6,Electronics,Phones,Central,May,2018
2018-05-13,Madhya Pradesh,Bhopal,288.0,-180.0,4,Furniture,Chairs,Central,May,2018
2018-05-14,Rajasthan,Jaipur,27.0,9.0,2,Clothing,T-shirt,West,May,2018
2018-05-15,West Bengal,Kolkata,148.0,72.0,7,Clothing,T-shirt,East,May,2018
2018-05-16,Karnataka,Bangalore,245.0,-78.0,3,Clothing,Saree,South,May,2018
2018-05-17,Jammu and Kashmir,Kashmir,19.0,-15.0,3,Clothing,Hankerchief,North,May,2018
2018-05-17,Jammu and Kashmir,Kashmir,224.0,-81.0,3,Furniture,Chairs,North,May,2018
2018-05-17,Jammu and Kashmir,Kashmir,58.0,-42.0,2,Furniture,Chairs,North,May,2018
2018-05-17,Jammu and Kashmir,Kashmir,145.0,-104.0,5,Furniture,Chairs,North,May,2018
2018-05-17,Jammu and Kashmir,Kashmir,55.0,-33.0,2,Furniture,Chairs,North,May,2018
2018-05-17,Jammu and Kashmir,Kashmir,7.0,-1.0,2,Clothing,Hankerchief,North,May,2018
2018-05-17,Maharashtra,Mumbai,24.0,-2.0,2,Clothing,T-shirt,West,May,2018
2018-05-17,Maharashtra,Mumbai,86.0,-21.0,1,Electronics,Electronic Games,West,May,2018
2018-05-17,Maharashtra,Mumbai,385.0,-77.0,11,Furniture,Furnishings,West,May,2018
2018-05-19,Madhya Pradesh,Indore,294.0,138.0,2,Electronics,Printers,Central,May,2018
2018-05-20,Bihar,Patna,444.0,-200.0,4,Electronics,Phones,East,May,2018
2018-05-20,Bihar,Patna,785.0,52.0,2,Electronics,Phones,East,May,2018
2018-05-20,Bihar,Patna,258.0,-27.0,2,Electronics,Phones,East,May,2018
2018-05-20,Bihar,Patna,83.0,-48.0,1,Furniture,Bookcases,East,May,2018
2018-05-21,Kerala,Thiruvananthapuram,166.0,-113.0,4,Electronics,Accessories,South,May,2018
2018-05-22,Punjab,Chandigarh,934.0,-916.0,7,Electronics,Electronic Games,North,May,2018
2018-05-23,Haryana,Chandigarh,11.0,-2.0,4,Clothing,Hankerchief,North,May,2018
2018-05-23,Haryana,Chandigarh,41.0,6.0,5,Clothing,Skirt,North,May,2018
2018-05-23,Haryana,Chandigarh,344.0,-34.0,3,Clothing,Saree,North,May,2018
2018-05-23,Haryana,Chandigarh,1030.0,206.0,8,Electronics,Printers,North,May,2018
2018-05-23,Haryana,Chandigarh,516.0,69.0,4,Furniture,Bookcases,North,May,2018
2018-05-24,Himachal Pradesh,Simla,123.0,17.0,3,Furniture,Furnishings,North,May,2018
2018-05-25,Sikkim,Gangtok,610.0,-66.0,2,Furniture,Tables,East,May,2018
2018-05-25,Goa,Goa,74.0,29.0,3,Clothing,Stole,West,May,2018
2018-05-25,Goa,Goa,24.0,1.0,2,Clothing,Hankerchief,West,May,2018
2018-05-25,Goa,Goa,14.0,2.0,1,Clothing,Hankerchief,West,May,2018
2018-05-25,Goa,Goa,656.0,-36.0,2,Furniture,Bookcases,West,May,2018
2018-05-27,Nagaland,Kohima,832.0,0.0,3,Clothing,Trousers,East,May,2018
2018-05-28,Andhra Pradesh,Hyderabad,27.0,-15.0,1,Clothing,Stole,South,May,2018
2018-05-28,Gujarat,Ahmedabad,143.0,-124.0,5,Clothing,Saree,West,May,2018
2018-05-28,Gujarat,Ahmedabad,44.0,-17.0,5,Clothing,Saree,West,May,2018
2018-05-28,Gujarat,Ahmedabad,45.0,-2.0,4,Clothing,Shirt,West,May,2018
2018-05-28,Gujarat,Ahmedabad,16.0,-1.0,1,Clothing,Saree,West,May,2018
2018-05-28,Gujarat,Ahmedabad,37.0,-5.0,3,Clothing,T-shirt,West,May,2018
2018-05-28,Maharashtra,Pune,17.0,-12.0,5,Clothing,Skirt,West,May,2018
2018-05-31,Madhya Pradesh,Bhopal,929.0,-93.0,9,Clothing,Saree,Central,May,2018
2018-01-06,Rajasthan,Jaipur,342.0,-103.0,4,Electronics,Electronic Games,West,January,2018
2018-01-06,Rajasthan,Jaipur,1263.0,-56.0,5,Clothing,Trousers,West,January,2018
2018-01-06,Rajasthan,Jaipur,674.0,-187.0,2,Furniture,Tables,West,January,2018
2018-01-06,Rajasthan,Jaipur,32.0,6.0,3,Clothing,Shirt,West,January,2018
2018-01-06,Rajasthan,Jaipur,79.0,36.0,4,Clothing,Shirt,West,January,2018
2018-02-06,West Bengal,Kolkata,20.0,-2.0,1,Electronics,Accessories,East,February,2018
2018-03-06,Karnataka,Bangalore,64.0,-7.0,3,Clothing,Saree,South,March,2018
2018-03-06,Karnataka,Bangalore,7.0,-3.0,2,Clothing,Skirt,South,March,2018
2018-03-06,Karnataka,Bangalore,327.0,-39.0,1,Electronics,Phones,South,March,2018
2018-03-06,Karnataka,Bangalore,27.0,-25.0,2,Clothing,Shirt,South,March,2018
2018-04-06,Maharashtra,Mumbai,76.0,-50.0,1,Clothing,Saree,West,April,2018
2018-04-06,Madhya Pradesh,Indore,73.0,-25.0,3,Clothing,Saree,Central,April,2018
2018-04-06,Madhya Pradesh,Indore,68.0,-27.0,3,Electronics,Accessories,Central,April,2018
2018-04-06,Madhya Pradesh,Indore,523.0,204.0,7,Clothing,Trousers,Central,April,2018
2018-04-06,Madhya Pradesh,Indore,44.0,-3.0,1,Clothing,Saree,Central,April,2018
2018-04-06,Madhya Pradesh,Indore,243.0,-14.0,2,Furniture,Chairs,Central,April,2018
2018-04-06,Madhya Pradesh,Indore,1625.0,-77.0,3,Electronics,Phones,Central,April,2018
2018-04-06,Madhya Pradesh,Indore,1096.0,-658.0,7,Electronics,Electronic Games,Central,April,2018
2018-07-06,Bihar,Patna,545.0,-73.0,11,Electronics,Phones,East,July,2018
2018-08-06,Kerala,Thiruvananthapuram,433.0,26.0,3,Electronics,Printers,South,August,2018
2018-08-06,Kerala,Thiruvananthapuram,245.0,-3.0,4,Electronics,Phones,South,August,2018
2018-08-06,Kerala,Thiruvananthapuram,155.0,56.0,3,Furniture,Furnishings,South,August,2018
2018-08-06,Kerala,Thiruvananthapuram,148.0,52.0,5,Clothing,Stole,South,August,2018
2018-08-06,Kerala,Thiruvananthapuram,86.0,-55.0,6,Clothing,Saree,South,August,2018
2018-09-06,Maharashtra,Mumbai,134.0,42.0,2,Furniture,Chairs,West,September,2018
2018-10-06,Madhya Pradesh,Indore,51.0,7.0,2,Furniture,Furnishings,Central,october,2018
2018-10-06,Madhya Pradesh,Indore,529.0,137.0,3,Electronics,Phones,Central,october,2018
2018-10-06,Madhya Pradesh,Indore,264.0,-30.0,3,Furniture,Furnishings,Central,october,2018
2018-10-06,Madhya Pradesh,Indore,45.0,-2.0,4,Clothing,Shirt,Central,october,2018
2018-11-06,Himachal Pradesh,Simla,381.0,-13.0,2,Clothing,Saree,North,November,2018
2018-11-06,Himachal Pradesh,Simla,332.0,-503.0,3,Electronics,Printers,North,November,2018
2018-11-06,Himachal Pradesh,Simla,1829.0,-56.0,6,Furniture,Tables,North,November,2018
2018-11-06,Maharashtra,Mumbai,17.0,6.0,1,Clothing,Stole,West,November,2018
2018-11-06,Maharashtra,Mumbai,357.0,139.0,2,Clothing,Saree,West,November,2018
2018-11-06,Maharashtra,Mumbai,51.0,21.0,3,Clothing,T-shirt,West,November,2018
2018-11-06,Maharashtra,Mumbai,387.0,-213.0,5,Clothing,Saree,West,November,2018
2018-11-06,Maharashtra,Mumbai,14.0,-1.0,4,Clothing,Kurti,West,November,2018
2018-11-06,Madhya Pradesh,Indore,352.0,-345.0,5,Clothing,Saree,Central,November,2018
2018-06-14,Maharashtra,Mumbai,469.0,-459.0,3,Electronics,Electronic Games,West,June,2018
2018-06-14,Maharashtra,Mumbai,97.0,17.0,2,Clothing,Stole,West,June,2018
2018-06-14,Maharashtra,Mumbai,149.0,36.0,3,Clothing,Stole,West,June,2018
2018-06-15,Madhya Pradesh,Indore,31.0,10.0,3,Clothing,Skirt,Central,June,2018
2018-06-16,Maharashtra,Mumbai,714.0,56.0,4,Clothing,Saree,West,June,2018
2018-06-16,Maharashtra,Mumbai,75.0,-25.0,3,Clothing,Stole,West,June,2018
2018-06-16,Maharashtra,Mumbai,17.0,-9.0,3,Clothing,Stole,West,June,2018
2018-06-17,Madhya Pradesh,Indore,141.0,28.0,7,Furniture,Furnishings,Central,June,2018
2018-06-18,Madhya Pradesh,Bhopal,76.0,-72.0,9,Clothing,Hankerchief,Central,June,2018
2018-06-18,Madhya Pradesh,Bhopal,632.0,-316.0,6,Clothing,Saree,Central,June,2018
2018-06-18,Madhya Pradesh,Bhopal,32.0,-16.0,6,Clothing,Saree,Central,June,2018
2018-06-18,Madhya Pradesh,Bhopal,68.0,-30.0,1,Electronics,Phones,Central,June,2018
2018-06-18,Madhya Pradesh,Bhopal,82.0,-39.0,5,Clothing,T-shirt,Central,June,2018
2018-06-18,Madhya Pradesh,Bhopal,72.0,-49.0,1,Electronics,Phones,Central,June,2018
2018-06-18,Madhya Pradesh,Bhopal,13.0,-13.0,2,Clothing,Skirt,Central,June,2018
2018-06-18,Rajasthan,Jaipur,167.0,43.0,7,Clothing,T-shirt,West,June,2018
2018-06-18,West Bengal,Kolkata,171.0,14.0,9,Clothing,Shirt,East,June,2018
2018-06-21,Karnataka,Bangalore,117.0,-6.0,3,Electronics,Phones,South,June,2018
2018-06-21,Karnataka,Bangalore,116.0,-4.0,1,Clothing,Saree,South,June,2018
2018-06-21,Karnataka,Bangalore,887.0,80.0,3,Electronics,Printers,South,June,2018
2018-06-21,Karnataka,Bangalore,275.0,-275.0,4,Clothing,Saree,South,June,2018
2018-06-21,Karnataka,Bangalore,44.0,7.0,3,Clothing,Kurti,South,June,2018
2018-06-21,Karnataka,Bangalore,168.0,-9.0,3,Clothing,Saree,South,June,2018
2018-06-22,Jammu and Kashmir,Kashmir,114.0,8.0,3,Electronics,Accessories,North,June,2018
2018-06-22,Jammu and Kashmir,Kashmir,1300.0,-16.0,8,Electronics,Printers,North,June,2018
2018-06-22,Jammu and Kashmir,Kashmir,4.0,-3.0,1,Clothing,Skirt,North,June,2018
2018-06-22,Jammu and Kashmir,Kashmir,73.0,-7.0,1,Electronics,Phones,North,June,2018
2018-06-22,Jammu and Kashmir,Kashmir,67.0,-42.0,3,Clothing,Stole,North,June,2018
2018-06-22,Jammu and Kashmir,Kashmir,322.0,-193.0,5,Electronics,Printers,North,June,2018
2018-06-22,Jammu and Kashmir,Kashmir,115.0,-39.0,3,Clothing,Trousers,North,June,2018
2018-06-23,Tamil Nadu,Chennai,87.0,-83.0,5,Clothing,Kurti,South,June,2018
2018-06-23,Tamil Nadu,Chennai,27.0,-6.0,4,Clothing,Hankerchief,South,June,2018
2018-06-23,Tamil Nadu,Chennai,207.0,-153.0,3,Clothing,Saree,South,June,2018
